time,v,ω,p,φ
0.0,0.8967045058597891,1.5887708426494046e-22,-0.876611188981335,-0.1376057401807491
0.01,0.8967045058563865,-1.6616187939261962e-12,-0.8766111889325433,-0.13760574017348592
0.02,0.8967045058529765,-5.388272135601799e-12,-0.8766111888853263,-0.13760574016643368
0.03,0.8967045058495685,-1.095828103836589e-11,-0.8766111888396915,-0.13760574015959592
0.04,0.8967045058461712,-1.8165452572603486e-11,-0.8766111887956476,-0.13760574015297528
0.05,0.8967045058427926,-2.681828585756287e-11,-0.8766111887531958,-0.13760574014657329
0.060000000000000005,0.8967045058394395,-3.673919883274632e-11,-0.8766111887123333,-0.13760574014039056
0.07,0.8967045058361179,-4.776373828521334e-11,-0.8766111886730517,-0.13760574013442703
0.08,0.8967045058328332,-5.973988470536591e-11,-0.8766111886353387,-0.13760574012868185
0.09,0.8967045058295899,-7.25272834762514e-11,-0.8766111885991763,-0.13760574012315352
0.09999999999999999,0.8967045058263923,-8.599665177620748e-11,-0.8766111885645438,-0.13760574011783983
0.10999999999999999,0.8967045058232435,-1.00029104794903e-10,-0.8766111885314171,-0.13760574011273813
0.11999999999999998,0.8967045058201467,-1.1451556547270208e-10,-0.8766111884997692,-0.13760574010784535
0.12999999999999998,0.8967045058171043,-1.2935614156135697e-10,-0.8766111884695701,-0.13760574010315785
0.13999999999999999,0.896704505814118,-1.4445961344770663e-10,-0.8766111884407887,-0.1376057400986718
0.15,0.8967045058111899,-1.5974285464896475e-10,-0.8766111884133904,-0.1376057400943829
0.16,0.8967045058083206,-1.7513035170036015e-10,-0.8766111883873412,-0.13760574009028667
0.17,0.8967045058055112,-1.905536937195094e-10,-0.8766111883626035,-0.1376057400863784
0.18000000000000002,0.8967045058027624,-2.0595115291945366e-10,-0.8766111883391405,-0.13760574008265314
0.19000000000000003,0.8967045058000743,-2.2126720233912552e-10,-0.876611188316913,-0.13760574007910573
0.20000000000000004,0.8967045057974471,-2.364521302655994e-10,-0.8766111882958822,-0.137605740075731
0.21000000000000005,0.8967045057948805,-2.5146163681437334e-10,-0.8766111882760085,-0.13760574007252369
0.22000000000000006,0.8967045057923742,-2.662564234543601e-10,-0.8766111882572524,-0.13760574006947834
0.23000000000000007,0.8967045057899274,-2.8080186599890945e-10,-0.8766111882395736,-0.1376057400665896
0.24000000000000007,0.8967045057875398,-2.950676728749439e-10,-0.8766111882229335,-0.13760574006385204
0.25000000000000006,0.8967045057852102,-3.0902758112025907e-10,-0.8766111882072913,-0.1376057400612602
0.26000000000000006,0.8967045057829377,-3.226589952184684e-10,-0.8766111881926089,-0.13760574005880863
0.2700000000000001,0.8967045057807211,-3.3594277522093217e-10,-0.8766111881788469,-0.13760574005649204
0.2800000000000001,0.8967045057785595,-3.48862911178593e-10,-0.8766111881659675,-0.13760574005430506
0.2900000000000001,0.8967045057764514,-3.614062935675395e-10,-0.8766111881539331,-0.1376057400522425
0.3000000000000001,0.8967045057743955,-3.735624533532509e-10,-0.8766111881427068,-0.13760574005029916
0.3100000000000001,0.8967045057723905,-3.8532336025370084e-10,-0.8766111881322521,-0.13760574004846993
0.3200000000000001,0.8967045057704349,-3.9668322931757226e-10,-0.8766111881225335,-0.13760574004674983
0.3300000000000001,0.8967045057685273,-4.076382710032357e-10,-0.8766111881135175,-0.137605740045134
0.34000000000000014,0.896704505766666,-4.181865057286757e-10,-0.8766111881051697,-0.13760574004361772
0.35000000000000014,0.8967045057648498,-4.283276509164303e-10,-0.8766111880974575,-0.13760574004219628
0.36000000000000015,0.896704505763077,-4.3806290228697953e-10,-0.8766111880903495,-0.13760574004086518
0.37000000000000016,0.8967045057613462,-4.4739480645436544e-10,-0.8766111880838143,-0.13760574003961998
0.38000000000000017,0.8967045057596558,-4.5632710649911777e-10,-0.8766111880778226,-0.1376057400384565
0.3900000000000002,0.8967045057580043,-4.6486460373561667e-10,-0.8766111880723454,-0.13760574003737053
0.4000000000000002,0.8967045057563904,-4.730130751910886e-10,-0.8766111880673545,-0.13760574003635814
0.4100000000000002,0.8967045057548124,-4.807791059045806e-10,-0.8766111880628238,-0.13760574003541542
0.4200000000000002,0.8967045057532691,-4.881700093286333e-10,-0.8766111880587273,-0.13760574003453868
0.4300000000000002,0.8967045057517585,-4.951937051447565e-10,-0.8766111880550412,-0.13760574003372436
0.4400000000000002,0.8967045057502798,-5.018586665464964e-10,-0.87661118805174,-0.13760574003296897
0.45000000000000023,0.8967045057488313,-5.081738273457885e-10,-0.8766111880488018,-0.13760574003226916
0.46000000000000024,0.8967045057474119,-5.141484788135214e-10,-0.8766111880462042,-0.13760574003162176
0.47000000000000025,0.8967045057460202,-5.19792243976108e-10,-0.8766111880439263,-0.13760574003102377
0.48000000000000026,0.8967045057446548,-5.251149695059471e-10,-0.8766111880419489,-0.1376057400304722
0.49000000000000027,0.8967045057433143,-5.301266627601571e-10,-0.8766111880402525,-0.1376057400299643
0.5000000000000002,0.896704505741998,-5.348374754346173e-10,-0.8766111880388182,-0.13760574002949727
0.5100000000000002,0.8967045057407045,-5.392576681938391e-10,-0.8766111880376292,-0.13760574002906864
0.5200000000000002,0.8967045057394322,-5.433974844860013e-10,-0.8766111880366694,-0.1376057400286761
0.5300000000000002,0.8967045057381807,-5.472671842080273e-10,-0.8766111880359222,-0.13760574002831716
0.5400000000000003,0.8967045057369487,-5.508769526377938e-10,-0.8766111880353732,-0.13760574002798961
0.5500000000000003,0.8967045057357352,-5.542369536072985e-10,-0.8766111880350077,-0.13760574002769138
0.5600000000000003,0.8967045057345391,-5.573572322042878e-10,-0.8766111880348131,-0.1376057400274205
0.5700000000000003,0.8967045057333596,-5.602476665477641e-10,-0.8766111880347761,-0.13760574002717502
0.5800000000000003,0.8967045057321957,-5.629180191519955e-10,-0.8766111880348842,-0.1376057400269532
0.5900000000000003,0.8967045057310467,-5.653778799329507e-10,-0.8766111880351275,-0.13760574002675333
0.6000000000000003,0.8967045057299116,-5.676366126322251e-10,-0.8766111880354944,-0.13760574002657378
0.6100000000000003,0.8967045057287896,-5.697033939065431e-10,-0.876611188035975,-0.13760574002641307
0.6200000000000003,0.89670450572768,-5.715871895790015e-10,-0.8766111880365598,-0.1376057400262697
0.6300000000000003,0.8967045057265821,-5.732967292516049e-10,-0.8766111880372395,-0.13760574002614237
0.6400000000000003,0.8967045057254954,-5.74840521734813e-10,-0.8766111880380056,-0.13760574002602982
0.6500000000000004,0.896704505724419,-5.762268181412945e-10,-0.8766111880388511,-0.1376057400259308
0.6600000000000004,0.8967045057233521,-5.774636038062234e-10,-0.8766111880397681,-0.13760574002584422
0.6700000000000004,0.8967045057222944,-5.785586380789611e-10,-0.87661118804075,-0.13760574002576897
0.6800000000000004,0.8967045057212453,-5.795194009176947e-10,-0.8766111880417897,-0.13760574002570417
0.6900000000000004,0.8967045057202041,-5.803531285744959e-10,-0.8766111880428821,-0.13760574002564877
0.7000000000000004,0.8967045057191706,-5.810667968910398e-10,-0.87661118804402,-0.13760574002560194
0.7100000000000004,0.8967045057181442,-5.816671291324295e-10,-0.8766111880451999,-0.1376057400255629
0.7200000000000004,0.8967045057171241,-5.821605716915631e-10,-0.8766111880464164,-0.1376057400255309
0.7300000000000004,0.8967045057161106,-5.825533405112227e-10,-0.8766111880476637,-0.13760574002550513
0.7400000000000004,0.8967045057151027,-5.82851400561276e-10,-0.8766111880489394,-0.137605740025485
0.7500000000000004,0.8967045057141,-5.830604493042106e-10,-0.8766111880502394,-0.13760574002547
0.7600000000000005,0.8967045057131025,-5.831859330963579e-10,-0.8766111880515595,-0.13760574002545944
0.7700000000000005,0.8967045057121096,-5.832330764314152e-10,-0.8766111880528966,-0.13760574002545284
0.7800000000000005,0.8967045057111211,-5.832068691406427e-10,-0.8766111880542473,-0.13760574002544967
0.7900000000000005,0.8967045057101367,-5.831120851154264e-10,-0.8766111880556092,-0.13760574002544956
0.8000000000000005,0.8967045057091563,-5.829532577597552e-10,-0.8766111880569796,-0.13760574002545198
0.8100000000000005,0.8967045057081793,-5.827347096350597e-10,-0.8766111880583567,-0.13760574002545667
0.8200000000000005,0.8967045057072057,-5.824605448195492e-10,-0.8766111880597374,-0.13760574002546322
0.8300000000000005,0.8967045057062352,-5.821346646776198e-10,-0.8766111880611206,-0.13760574002547135
0.8400000000000005,0.8967045057052676,-5.817607600638938e-10,-0.8766111880625045,-0.13760574002548073
0.8500000000000005,0.8967045057043026,-5.813423451826384e-10,-0.8766111880638872,-0.13760574002549117
0.8600000000000005,0.89670450570334,-5.8088274395967e-10,-0.8766111880652673,-0.1376057400255023
0.8700000000000006,0.8967045057023798,-5.803851041864926e-10,-0.8766111880666437,-0.137605740025514
0.8800000000000006,0.8967045057014218,-5.798523819945617e-10,-0.8766111880680152,-0.13760574002552603
0.8900000000000006,0.8967045057004658,-5.792873977923422e-10,-0.8766111880693809,-0.13760574002553824
0.9000000000000006,0.8967045056995119,-5.786927803951465e-10,-0.8766111880707397,-0.1376057400255504
0.9100000000000006,0.8967045056985595,-5.780710433346706e-10,-0.8766111880720906,-0.13760574002556247
0.9200000000000006,0.8967045056976088,-5.774245081550595e-10,-0.8766111880734337,-0.13760574002557427
0.9300000000000006,0.8967045056966598,-5.767553845609342e-10,-0.8766111880747675,-0.13760574002558562
0.9400000000000006,0.8967045056957121,-5.760657531129942e-10,-0.8766111880760924,-0.13760574002559656
0.9500000000000006,0.896704505694766,-5.753575327128788e-10,-0.8766111880774067,-0.13760574002560685
0.9600000000000006,0.8967045056938211,-5.746325564585241e-10,-0.8766111880787109,-0.13760574002561654
0.9700000000000006,0.8967045056928774,-5.738925212341006e-10,-0.8766111880800054,-0.1376057400256255
0.9800000000000006,0.8967045056919349,-5.731390205473944e-10,-0.8766111880812884,-0.13760574002563372
0.9900000000000007,0.8967045056909936,-5.723735310926335e-10,-0.8766111880825608,-0.13760574002564113
1.0000000000000007,0.8967045056900531,-5.715974267184718e-10,-0.8766111880838228,-0.1376057400256477
1.0100000000000007,0.8967045056891136,-5.708119765515545e-10,-0.8766111880850733,-0.1376057400256534
1.0200000000000007,0.8967045056881754,-5.700183888698855e-10,-0.8766111880863126,-0.13760574002565817
1.0300000000000007,0.8967045056872378,-5.692177678429351e-10,-0.8766111880875415,-0.13760574002566203
1.0400000000000007,0.8967045056863013,-5.684111399602132e-10,-0.8766111880887585,-0.13760574002566497
1.0500000000000007,0.8967045056853655,-5.675994449128506e-10,-0.8766111880899653,-0.13760574002566703
1.0600000000000007,0.8967045056844307,-5.667835646746101e-10,-0.8766111880911615,-0.1376057400256681
1.0700000000000007,0.8967045056834966,-5.659642921537157e-10,-0.8766111880923463,-0.13760574002566825
1.0800000000000007,0.8967045056825635,-5.651423781063917e-10,-0.8766111880935208,-0.13760574002566747
1.0900000000000007,0.8967045056816312,-5.6431850857106e-10,-0.8766111880946853,-0.1376057400256658
1.1000000000000008,0.8967045056806996,-5.634932952137904e-10,-0.8766111880958393,-0.13760574002566323
1.1100000000000008,0.8967045056797687,-5.626672999331654e-10,-0.8766111880969837,-0.13760574002565984
1.1200000000000008,0.8967045056788384,-5.618410281555256e-10,-0.8766111880981186,-0.13760574002565557
1.1300000000000008,0.8967045056779092,-5.61014958423516e-10,-0.8766111880992432,-0.1376057400256504
1.1400000000000008,0.8967045056769806,-5.601895233129132e-10,-0.8766111881003591,-0.13760574002564444
1.1500000000000008,0.8967045056760529,-5.593651154566589e-10,-0.8766111881014655,-0.13760574002563772
1.1600000000000008,0.8967045056751258,-5.585420585955126e-10,-0.8766111881025638,-0.13760574002563022
1.1700000000000008,0.8967045056741995,-5.577206550143711e-10,-0.8766111881036536,-0.13760574002562204
1.1800000000000008,0.8967045056732739,-5.569011760939253e-10,-0.876611188104735,-0.13760574002561313
1.1900000000000008,0.8967045056723492,-5.560838702953475e-10,-0.8766111881058082,-0.1376057400256035
1.2000000000000008,0.8967045056714251,-5.552689606758133e-10,-0.8766111881068736,-0.13760574002559325
1.2100000000000009,0.8967045056705019,-5.544566315977447e-10,-0.8766111881079317,-0.13760574002558235
1.2200000000000009,0.8967045056695793,-5.536470227010778e-10,-0.8766111881089828,-0.13760574002557088
1.2300000000000009,0.8967045056686577,-5.528402771783452e-10,-0.8766111881100263,-0.1376057400255588
1.2400000000000009,0.8967045056677366,-5.52036521927837e-10,-0.876611188111064,-0.1376057400255463
1.2500000000000009,0.8967045056668164,-5.512358259214733e-10,-0.8766111881120947,-0.1376057400255332
1.260000000000001,0.896704505665897,-5.504382888319042e-10,-0.8766111881131189,-0.13760574002551962
