time,bus2_v,bus3_v,bus6_v,bus8_v,bus15_v,bus2_ω,bus3_ω,bus6_ω,bus8_ω,bus15_ω,bus2_p,bus3_p,bus6_p,bus8_p,bus15_p,bus2_q,bus3_q,bus6_q,bus8_q,bus15_q,bus2_φ,bus3_φ,bus6_φ,bus8_φ,bus15_φ
0.0,0.9977817415337964,0.9065831179647403,0.8938293980574049,0.9527145307361223,0.9986734054013833,0.0,-3.712067431681192e-20,0.0,0.0,-6.727355099457241e-13,0.3994857314069199,-0.8793958410181046,-0.10624403466603782,1.3890211203460012e-10,1.2227634460515446e-9,0.003698760042769686,-0.3282465759121169,0.0882368793856955,0.0442529996847127,0.13265947705963338,-0.0705821100972686,-0.20913582102718234,-0.27395928869394437,-0.2503040191822861,-0.27413881372349563
0.01,0.9977817415389664,0.9065831208205061,0.8938293980570301,0.9527145307369878,0.9986734054005255,1.3691389230734188e-9,3.442203668691724e-10,7.508394969568018e-11,7.30030206967622e-11,3.3293657983643243e-10,0.3994856857547103,-0.8793957858145915,-0.10624403882518899,-2.965958121464718e-9,1.2106592603422506e-9,0.003698747153481074,-0.32824657495703646,0.08823687905845415,0.044252998559561545,0.13265947706082282,-0.07058211012116083,-0.2091358142139955,-0.2739592886860988,-0.25030401917683537,-0.27413881372268617
0.02,0.9977817415534308,0.9065831231253261,0.8938293980592094,0.9527145307408701,0.998673405399672,5.058743309801566e-9,-1.9615549111689483e-9,4.2912429404961184e-10,3.270814328424669e-10,3.0349053980210572e-9,0.3994856455585221,-0.8793957378467447,-0.10624404338906746,-6.079207037074097e-9,1.1943780478529398e-9,0.003698737142418137,-0.3282465758161969,0.08823687827086232,0.044252997365850213,0.13265947705543923,-0.0705821101164926,-0.20913580818193986,-0.2739592886567541,-0.2503040191582678,-0.2741388137090314
0.03,0.9977817415749648,0.9065831249639505,0.8938293980632721,0.9527145307470951,0.9986734053988241,1.0449780595127518e-8,-6.36147651497522e-9,9.941786536568455e-10,7.223271279648004e-10,1.1184535459593148e-8,0.3994856115055855,-0.8793956959723466,-0.10624404737441424,-8.928142536043793e-9,1.2581807887213081e-9,0.003698729520083009,-0.32824657801796503,0.0882368777198579,0.04425299647000385,0.13265947700153746,-0.0705821100634851,-0.2091358028416065,-0.27395928860611585,-0.25030401912625255,-0.27413881364385
0.04,0.9977817416018689,0.9065831264095017,0.8938293980686416,0.9527145307549598,0.9986734053979857,1.7006895297419778e-8,-1.2379785471634208e-8,1.7160477729624023e-9,1.2336796143132373e-9,2.7685166513652134e-8,0.39948558336760087,-0.8793956595758455,-0.10624405087830467,-1.1721863877114935e-8,1.5531946007119046e-9,0.003698723704207721,-0.3282465812053507,0.08823687737241184,0.044252995903249534,0.13265947682242057,-0.0705821099481016,-0.20913579811316726,-0.27395928853456214,-0.2503040190801499,-0.27413881345744245
0.05,0.9977817416328713,0.9065831275249304,0.8938293980748249,0.9527145307636592,0.9986734053971655,2.427198778028113e-8,-1.961138322378437e-8,2.5517822163007846e-9,1.8521554356832538e-9,5.4293411490964725e-8,0.39948556085488895,-0.8793956280920552,-0.10624405398263856,-1.471013283578515e-8,2.2809501440401725e-9,0.0036987192237738706,-0.32824658508741766,0.08823687719905453,0.0442529957244083,0.1326594764154374,-0.07058210976124503,-0.20913579392537388,-0.27395928844258605,-0.250304019018684,-0.27413881305636945
0.060000000000000005,0.9977817416670433,0.906583128364301,0.8938293980814027,0.9527145307722396,0.998673405396378,3.185798538349305e-8,-2.771341580673029e-8,3.4676016055977918e-9,2.5845745693216654e-9,9.161184551656886e-8,0.3994855436278071,-0.8793956010020274,-0.1062440567563045,-1.8155893883806118e-8,3.6660064428595263e-9,0.0036987157031009646,-0.32824658942985474,0.08823687717357018,0.0442529960060932,0.13265947566638508,-0.070582109498019,-0.20913579021467107,-0.27395928833075256,-0.2503040189396939,-0.274138812335809
0.07,0.9977817417037285,0.9065831289739189,0.8938293980880211,0.9527145307795803,0.9986734053956426,3.94428006478183e-8,-3.6397755385805055e-8,4.437166123518967e-9,3.4519319021247e-9,1.3971748933730552e-7,0.3994855313075656,-0.8793955778295001,-0.10624405925708286,-2.2316505629560446e-8,5.936965044583964e-9,0.0036987128476992127,-0.3282465940466671,0.08823687727271821,0.04425299682512493,0.13265947445945694,-0.07058210915704967,-0.20913578692440862,-0.2739592881996653,-0.2503040188399798,-0.2741388111881369
0.08,0.997781741742481,0.9065831293933289,0.8938293980943837,0.9527145307843888,0.9986734053949851,4.6763480502813184e-8,-4.5424278585454515e-8,5.440147256876962e-9,4.4873025835418525e-9,1.9869283087732082e-7,0.399485523486315,-0.8793955581378048,-0.10624406153335443,-2.743917881450897e-8,9.321312173515839e-9,0.003698710431655653,-0.3282465987928108,0.0882368774759847,0.04425299825963107,0.13265947267994313,-0.07058210873986724,-0.20913578400413896,-0.2739592880499413,-0.25030401871520835,-0.2741388095052043
0.09,0.997781741783014,0.9065831296561909,0.8938293981002445,0.9527145307851973,0.998673405394436,5.361055597966834e-8,-5.4594853478133485e-8,6.461053355405646e-9,5.733978208265843e-9,2.687489032003998e-7,0.3994855197364552,-0.8793955415271639,-0.10624406362563545,-3.376373195612681e-8,1.4047457301546995e-8,0.003698708286535818,-0.3282466035577276,0.08823687776536616,0.04425300038961484,0.13265947021317878,-0.07058210825034442,-0.2091357814089888,-0.2739592878821932,-0.25030401855983764,-0.27413880717732897
