time,bus2_v,bus3_v,bus6_v,bus8_v,bus2_ω,bus3_ω,bus6_ω,bus8_ω,bus2_p,bus3_p,bus6_p,bus8_p,bus2_q,bus3_q,bus6_q,bus8_q,bus2_φ,bus3_φ,bus6_φ,bus8_φ,bus9_v,bus9_p,bus9_q,bus9_φ,bus5_v,bus5_p,bus5_q,bus5_φ
100.0,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.358098076022742e-16,-1.2739601923805156e-14,-6.400057769481803e-15,-3.1957809978035034e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.01,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3609969687679987e-16,-1.2740610365934568e-14,-6.400096798730966e-15,-3.195780535439586e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.02000000000001,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.357695702991386e-16,-1.2739579884488664e-14,-6.400136842460036e-15,-3.195780841579388e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.03000000000002,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.360549429260545e-16,-1.2739585518687642e-14,-6.400176390993579e-15,-3.1957808199903513e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.04000000000002,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3572599416172654e-16,-1.2739592216429422e-14,-6.4000592028048e-15,-3.195780947703403e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.05000000000003,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3601139741266393e-16,-1.2739597853426634e-14,-6.400098762913387e-15,-3.1957809135902904e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.06000000000003,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3568238337804225e-16,-1.2739604586234083e-14,-6.400138687553579e-15,-3.195781087201093e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.07000000000004,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3597245016949284e-16,-1.2740613016461807e-14,-6.4000206118493646e-15,-3.1957805608909907e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.08000000000004,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.3625663459603466e-16,-1.2739581412824656e-14,-6.400060288253802e-15,-3.1957806576720477e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
100.09000000000005,0.9944884514243333,0.9004861856083772,0.8835885116732658,0.9149019209588359,4.359274601712292e-16,-1.273958811079359e-14,-6.4001002057421406e-15,-3.1957808559036018e-15,0.39872045940104056,-0.87768148349501,-0.10569501424918071,6.130512764102036e-15,0.00915971157763626,-0.32560528978501985,0.09603394941630408,0.07647976029933055,-0.06973748717881331,-0.2089409372517412,-0.27634901082319396,-0.24913409385912855,0.8845812749115941,-0.2950000000000004,-0.024000000000000424,-0.2908711718165528,0.9552249732593806,-0.07599999999999936,-0.015999999999999077,-0.14606001181687264
