Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
0,2.48154183765908e-23,0,0.0170599498630263,-6.80852362192397e-21,0,0.00649478849204048
0.01,1.24090598926563e-06,0.000268502102541772,0.0292523436822505,5.3383629180228e-07,0.000117237505849659,0.0127769318737046
0.02,5.8199963904812e-06,0.000676699170799454,0.0468817071378125,2.64287929184561e-06,0.000324436064869059,0.0246958979651074
0.03,1.53006139507224e-05,0.00124926998507235,0.0647879594586669,7.48155349238177e-06,0.000670582555013745,0.0410661330893048
0.04,3.13138149406637e-05,0.00197969186415289,0.0805790588159787,1.66271461883871e-05,0.00119050517228063,0.0602475912185475
0.05,5.53535440212234e-05,0.00285069094081319,0.094038450173814,3.19211271768594e-05,0.00190182502795609,0.0803679109297476
0.06,8.87403359983718e-05,0.00384636284511453,0.105851840952648,5.52911487963417e-05,0.00280420859354564,0.0995853760520373
0.07,0.000132656220606127,0.00495465842699605,0.116553450815675,8.85770877770825e-05,0.00388085837436886,0.116312729954566
0.08,0.000188170345836993,0.00616406695410081,0.126087390032425,0.000133381050259825,0.00510168344411724,0.129362134580585
0.09,0.000256222350595823,0.00745940453146054,0.133922094494657,0.000190954548946427,0.00642742811668966,0.138008997618715
0.1,0.000337573133224574,0.00881994374411453,0.139428097947166,0.000262129054819455,0.00781411384559571,0.141993194213117
0.11,0.00043275270763734,0.0102206613029218,0.142231665276112,0.000347290513955617,0.0092173232325939,0.141480022234534
0.12,0.000542032528457494,0.0116355813484715,0.142386713178088,0.00044639456743275,0.0105960167464867,0.136997222702322
0.13,0.000665435144294294,0.0130415721150815,0.140351330787985,0.000559016712145606,0.0119156785973396,0.129356646833174
0.14,0.000802778528705843,0.0144212833948853,0.136843450878811,0.000684429937566658,0.0131506471590706,0.119564587652836
0.15,0.000953742827008505,0.0157646456453726,0.132668559921542,0.000821701145743702,0.0142855282999375,0.108724374963824
